image_id,true_naip_year,longitude,latitude,modeled_naip_year
286_6_1_0_17_875_13572,2005,-78.2548414359,35.0473396706,2008.0
286_6_1_0_17_875_13592,2005,-78.2531143336,35.0988594764,2008.0
286_6_1_0_17_875_13654,2005,-78.2477323794,35.2585676125,2008.0
286_6_1_0_17_876_13509,2005,-78.257127075,34.88497843,2008.0
286_6_1_0_17_876_13538,2005,-78.254638469,34.9596841247,
286_6_1_0_17_877_13561,2014,-78.249526985,35.0188617679,
286_6_1_0_17_877_13572,2005,-78.2485767885,35.0471977312,2008.0
286_6_1_0_17_878_13506,2005,-78.2511322652,34.8771089822,2008.0
286_6_1_0_17_878_13512,2012,-78.2506171601,34.8925653633,2012.0
286_6_1_0_17_878_13520,2005,-78.2499297429,34.9131737998,2008.0
286_6_1_0_17_878_13554,2005,-78.2470004221,35.0007587414,2008.0
286_6_1_0_17_878_13577,2005,-78.2450116444,35.0600065386,2014.0
286_6_1_0_17_878_13615,2005,-78.2417130954,35.1578927168,2008.0
286_6_1_0_17_879_13532,2006,-78.2457689257,34.9440153998,2008.0
286_6_1_0_17_879_13554,2005,-78.2438698896,35.0006876915,2010.0
286_6_1_0_17_879_13571,2005,-78.2423988175,35.0444794921,2016.0
286_6_1_0_17_879_13735,2005,-78.2280431484,35.4669224843,2008.0
286_6_1_0_17_879_13738,2005,-78.2277777527,35.474649777,2008.0
286_6_1_0_17_880_13645,2005,-78.2328187496,35.2350265534,2008.0
286_6_1_0_17_880_13662,2005,-78.2313289089,35.2788162503,2008.0
286_6_1_0_17_881_13506,2005,-78.2417547527,34.8768965638,2008.0
286_6_1_0_17_881_13515,2006,-78.2409793197,34.9000809359,2008.0
286_6_1_0_17_881_13561,2005,-78.2370021355,35.018577218,2008.0
286_6_1_0_17_882_13509,2005,-78.2383702658,34.8845537124,
286_6_1_0_17_882_13535,2008,-78.2361243192,34.9515302288,2008.0
286_6_1_0_17_883_13589,2005,-78.2283019962,35.0905609216,2008.0
286_6_1_0_17_883_13675,2005,-78.220760148,35.3120858919,2008.0
286_6_1_0_17_884_13571,2005,-78.2267379917,35.0441224571,2008.0
286_6_1_0_17_884_13606,2008,-78.2236821006,35.1342796897,2008.0
286_6_1_0_17_885_13471,2005,-78.2322723129,34.7864507311,2008.0
286_6_1_0_17_885_13530,2005,-78.2271724115,34.9384363271,2008.0
286_6_1_0_17_885_13570,2005,-78.2236930697,35.0414748706,2008.0
286_6_1_0_17_885_13607,2014,-78.2204589188,35.1367836928,2014.0
286_6_1_0_17_886_13467,2008,-78.2294947014,34.7760754386,2008.0
286_6_1_0_17_886_13578,2005,-78.2198622719,35.062010555,2008.0
286_6_1_0_17_886_13778,2005,-78.2021603908,35.577168907,2008.0
286_6_1_0_17_887_13478,2008,-78.2254231395,34.8043408783,2008.0
286_6_1_0_17_887_13525,2005,-78.2213508552,34.925413451,2008.0
286_6_1_0_17_887_13684,2005,-78.2073929602,35.3349783368,2008.0
286_6_1_0_17_888_13523,2005,-78.2183972338,34.9201899205,2008.0
286_6_1_0_17_888_13594,2008,-78.2121938655,35.1030811066,2008.0
286_6_1_0_17_888_13674,2005,-78.2051368702,35.3091479021,2008.0
286_6_1_0_17_888_13679,2005,-78.2046934252,35.3220268024,2008.0
286_6_1_0_17_888_13731,2005,-78.2000648837,35.4559654469,2009.0
286_6_1_0_17_890_13455,2005,-78.2180447441,34.7448780234,2008.0
286_6_1_0_17_890_13472,2005,-78.2165739436,34.788670711,2008.0
286_6_1_0_17_890_13573,2005,-78.2077699316,35.0488431531,2008.0
286_6_1_0_17_890_13590,2005,-78.2062769429,35.0926332648,2008.0
286_6_1_0_17_890_13718,2005,-78.1949316147,35.4223350673,2008.0
286_6_1_0_17_891_13577,2008,-78.2042862757,35.0590745676,2008.0
286_6_1_0_17_891_13669,2005,-78.1961547904,35.296050791,2008.0
286_6_1_0_17_891_13681,2005,-78.1950871474,35.3269599267,2009.0
286_6_1_0_17_892_13503,2005,-78.2076328744,34.8683835951,2008.0
286_6_1_0_17_892_13506,2005,-78.207371384,34.8761115178,2008.0
286_6_1_0_17_892_13547,2005,-78.203787687,34.9817253028,2008.0
286_6_1_0_17_892_13726,2005,-78.1879215729,35.4427942407,2008.0
286_6_1_0_17_893_13497,2005,-78.205030737,34.8528559274,2008.0
286_6_1_0_17_893_13667,2005,-78.1900495307,35.2907534181,2008.0
286_6_1_0_17_893_13670,2005,-78.1897822442,35.2984806858,2008.0
286_6_1_0_17_893_13842,2014,-78.1742864504,35.7414911564,2016.0
286_6_1_0_17_894_13505,2005,-78.2012073748,34.8733917799,
286_6_1_0_17_895_13470,2005,-78.2011361389,34.7831606341,2009.0
286_6_1_0_17_895_13587,2008,-78.1908725761,35.0845435998,2008.0
286_6_1_0_17_895_13682,2014,-78.1824261027,35.3292432742,2014.0
286_6_1_0_17_896_13482,2005,-78.196967134,34.8140005923,2008.0
286_6_1_0_17_896_13627,2005,-78.1841910495,35.1875035403,2008.0
286_6_1_0_17_896_13652,2005,-78.1819644223,35.2518978572,2008.0
286_6_1_0_17_897_13592,2005,-78.1841624261,35.0972773757,2008.0
286_6_1_0_17_897_13631,2005,-78.1806973588,35.1977336525,2009.0
286_6_1_0_17_897_13743,2005,-78.1706505481,35.4862125158,2008.0
286_6_1_0_17_898_13606,2006,-78.1797851009,35.1332658887,2008.0
286_6_1_0_17_898_13658,2005,-78.1751478368,35.2672058512,2008.0
286_6_1_0_17_899_13677,2005,-78.1703033654,35.3160710637,2008.0
286_6_1_0_17_900_13675,2005,-78.167340688,35.3108460719,2008.0
286_6_1_0_17_901_13456,2005,-78.1836293656,34.7466648571,2008.0
286_6_1_0_17_901_13575,2008,-78.1731380317,35.0531967375,2008.0
286_6_1_0_17_903_13516,2005,-78.1721062943,34.9010756656,2009.0
286_6_1_0_17_903_13688,2005,-78.1567409836,35.3441085372,
286_6_1_0_17_904_13506,2012,-78.1698637817,34.8752440324,2012.0
286_6_1_0_17_904_13657,2005,-78.1563947416,35.2641886391,2008.0
286_6_1_0_17_904_13660,2005,-78.156124522,35.2719157161,2008.0
286_6_1_0_17_904_13710,2005,-78.1516056867,35.4006986099,2008.0
286_6_1_0_17_905_13586,2005,-78.1596266323,35.081237707,2008.0
286_6_1_0_17_905_13671,2014,-78.15199106,35.3001742694,2014.0
286_6_1_0_17_906_13521,2005,-78.1622832808,34.91373632,2008.0
286_6_1_0_17_906_13535,2005,-78.1610402318,34.9497981835,2008.0
286_6_1_0_17_906_13621,2009,-78.1533557267,35.1713154978,2009.0
286_6_1_0_17_906_13716,2005,-78.1447689942,35.4160037005,2008.0
286_6_1_0_17_907_13441,2006,-78.1662249681,34.7075911596,2008.0
286_6_1_0_17_907_13538,2008,-78.1576449199,34.9574524977,2008.0
286_6_1_0_17_908_13446,2006,-78.16266556,34.7203982706,2008.0
286_6_1_0_17_908_13526,2005,-78.1555846276,34.9264692827,2008.0
286_6_1_0_17_908_13529,2005,-78.1553176918,34.9341967851,2008.0
286_6_1_0_17_908_13675,2005,-78.1422032549,35.3102544751,2012.0
286_6_1_0_17_908_13700,2005,-78.1399331725,35.3746451382,2008.0
286_6_1_0_17_908_13718,2005,-78.1382942493,35.4210059112,
286_6_1_0_17_908_13798,2005,-78.1309646958,35.6270486716,
286_6_1_0_17_909_13720,2005,-78.1349653047,35.4260824485,2008.0
286_6_1_0_17_910_13528,2005,-78.1491513763,34.9314742996,2008.0
286_6_1_0_17_910_13706,2005,-78.1330968654,35.3899496246,2008.0
286_6_1_0_17_910_13719,2005,-78.1319100778,35.4234321622,2008.0
286_6_1_0_17_910_13721,2005,-78.1317273213,35.4285833023,2008.0
286_6_1_0_17_911_13440,2005,-78.1538363977,34.7047243517,2008.0
286_6_1_0_17_911_13461,2005,-78.1519799314,34.7588185151,2008.0
286_6_1_0_17_911_13494,2006,-78.1490526133,34.8438224803,2008.0
286_6_1_0_17_911_13515,2005,-78.1471833821,34.8979151808,2014.0
286_6_1_0_17_911_13520,2005,-78.1467375925,34.9107943112,2010.0
