facility_id,true_positive,latitude,longitude,new_cafo
north-carolina_franklin_14576_287_6_1_0_17_903_13945_00,0,36.1314555706,-78.1183640031,0
north-carolina_franklin_14890_287_6_1_0_17_908_13922_00,1,36.072286798,-78.106236429,0
north-carolina_gaston_10789_287_6_1_0_17_-7_13585_00,0,35.2345033788,-81.0202120542,0
north-carolina_gaston_5082_287_6_1_0_17_-65_13624_00,0,35.3355463523,-81.2033466802,0
north-carolina_gaston_741_287_6_1_0_17_-113_13652_00,0,35.4065056346,-81.3552622873,0
north-carolina_granville_1218_287_6_1_0_17_694_14029_00,0,36.36285776,-78.7787609866,0
north-carolina_granville_5762_287_6_1_0_17_719_14019_00,0,36.3342426289,-78.6998886938,0
north-carolina_granville_6411_287_6_1_0_17_723_13942_00,0,36.1363233084,-78.6923587156,0
north-carolina_granville_7524_287_6_1_0_17_729_13961_00,0,36.1849249192,-78.6723677642,0
north-carolina_granville_9764_287_6_1_0_17_741_13967_00,0,36.1990296091,-78.6326529837,0
north-carolina_granville_9798_287_6_1_0_17_741_14001_00,0,36.2878072283,-78.6303497102,0
north-carolina_guilford_10421_287_6_1_0_17_379_13934_00,0,36.131717088,-79.788393257,0
north-carolina_guilford_11722_287_6_1_0_17_389_13915_00,0,36.0821915284,-79.7583581532,0
north-carolina_guilford_13630_287_6_1_0_17_403_13975_00,1,36.2370702502,-79.7116778382,1
north-carolina_guilford_13697_287_6_1_0_17_404_13910_00,0,36.0675348266,-79.710145261,0
north-carolina_guilford_14775_287_6_1_0_17_412_13925_00,1,36.1065355455,-79.6832985958,1
north-carolina_guilford_14844_287_6_1_0_17_413_13861_00,0,35.9413143407,-79.6846724992,0
north-carolina_guilford_15990_287_6_1_0_17_421_13948_00,0,36.1659776963,-79.653570424,0
north-carolina_guilford_20656_287_6_1_0_17_456_13969_00,1,36.2197780294,-79.5422867213,1
north-carolina_guilford_3172_287_6_1_0_17_324_13922_00,0,36.1025103563,-79.9645796356,0
north-carolina_guilford_3673_287_6_1_0_17_328_13899_00,0,36.0420222342,-79.9537183848,0
north-carolina_guilford_4621_287_6_1_0_17_335_13923_00,0,36.1049941865,-79.931068001,0
north-carolina_guilford_4684_287_6_1_0_17_336_13854_00,0,35.924738183,-79.9300704426,0
north-carolina_guilford_5150_287_6_1_0_17_339_13924_00,0,36.1075463353,-79.9194200509,0
north-carolina_guilford_5401_287_6_1_0_17_341_13911_00,0,36.0734816642,-79.9116092667,0
north-carolina_guilford_7394_287_6_1_0_17_356_13936_00,0,36.1374880527,-79.8640846443,0
north-carolina_harnett_10201_287_6_1_0_17_676_13698_00,1,35.5067437235,-78.8598136528,0
north-carolina_harnett_10766_287_6_1_0_17_681_13642_00,1,35.3613845369,-78.8473822294,0
north-carolina_harnett_10901_287_6_1_0_17_682_13655_00,0,35.397309429,-78.8445578816,0
north-carolina_harnett_15803_287_6_1_0_17_727_13660_00,1,35.4053793442,-78.7002885346,1
